Title,URL,Type,Start_date,End_date,Countries,Funding,Funding_source,Funding_information,Partner,PI_institution,Principal_investigator,Partner,Abstract,Objectives,Methodology,Themes
Researching how malaria parasites develop and become infectious in the mosquito vector,http://www.malariaeradication.org/mesa-track/researching-how-malaria-parasites-develop-and-become-infectious-mosquito-vector,Project,Jan-16,Oct-17,,,Bill & Melinda Gates Foundation (BMGF),Howard Hughes Medical Institute-Gates Faculty Scholar,,Harvard T.H. Chan School of Public Health,Flaminia Catteruccia,,"This project proposes to study the molecular and genetic mechanisms that shape the interplay between reproductive biology and Plasmodium development in Anopheles mosquitoes. The main focus is on how the malaria parasite exploits the physiological environment created by mating and blood feeding to achieve its own transmission. This work will be done in collaborations with experts in chemical ecology, tissue engineering, comparative genomics, microbiology, gene editing, mathematical modeling, and epidemiology. 
","The overarching goal of this project is to increase knowledge of mosquito biology and mosquito-Plasmodium interactions to contribute novel tools and concepts for malaria control. The aim is to perform molecular, genetics, biochemical, epidemiological and behavioral studies that will build on the current body of work to aid in the design and validation of innovative tools for the control of mosquito populations and malaria parasites.",Entomology,Tools for elimination
Unraveling the polymodal behavior of sensory transduction receptors,https://projectreporter.nih.gov/project_info_description.cfm?aid=9225161&icde=35281180,Project,Feb-16,Jan-21,United States,$929 914,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,Harvard T.H. Chan School of Public Health,Brandeis University,Paul Garrity,Harvard T.H. Chan School of Public Health,"Animals detect multiple kinds of stimuli, including chemicals, force, light and temperature. Distinct sensory modalities often rely on related molecular receptors. In some cases, the same receptor participates in multiple sensory modalities. How does such polymodality emerge? How can it be regulated to enable sensory discrimination? The project team will probe these issues by studying two classes of polymodal receptors they have identified in the fruit fly Drosophila melanogaster whose polymodality is regulated by complementary molecular mechanisms.  
This proposal investigates the fundamental molecular mechanisms that regulate chemical and thermal sensation by examining the ability of sensory receptors to participate in multiple sensory modalities. The ability to sense and respond to chemicals (such as chemical repellents and moisture) and to temperature is critical for animal physiology, and the dysregulation of these sensory modalities can contribute to disease. In insects, the ability to sense temperature and humidity is important for host-seeking by insect vectors for widespread human diseases like malaria and dengue. Furthermore, the detection of chemical repellents is important for the action of vector control agents. Thus, the study of chemical and thermal sensation is of biomedical relevance.
","The main objective of this project is to molecularly characterize the receptors that are essential for hygro- and thermo- sensation in Anopheles gambiae mosquitoes with the aim to develop novel malaria control tools.
Specific aims:
To probe the molecular mechanisms by which the activity of a receptor for both moderate warming and aversive chemicals can be regulated in a cell-specific fashion to achieve appropriate sensitivity and specificity, and use these studies to investigate the molecular basis of thermal and chemical detection in both fruit flies and Anopheles mosquitoes.
To investigate how a pair of receptors act together to mediate both thermosensation and hygrosensation, and how these distinct activities are regulated to confer appropriate behavioral responses to each stimulus in both fruit flies and Anopheles mosquitoes.
To test the hypothesis that multiple related receptors can function together in a combinatorial fashion to create distinct classes of sensory receptors that mediate responses to distinct sensory modalities in different sensory neurons in both fruit flies and Anopheles mosquitoes.
Together, these studies will provide fundamental insights into the molecular basis of sensory receptor polymodality, how sensory receptors detect thermal and chemical stimuli, and how sensory receptor activity can be regulated to achieve appropriate sensory sensitivity and specificity.",Entomology,Tools for elimination
"Understanding the impact of malaria parasite genetic diversity on RTS,S vaccine efficacy ",http://www.malariaeradication.org/mesa-track/understanding-impact-malaria-parasite-genetic-diversity-rtss-vaccine-efficacy,Project,,,,,PATH Malaria Vaccine Initiative (MVI),,"PATH Malaria Vaccine Initiative (MVI), GlaxoSmithKline (GSK) ",Harvard T.H. Chan School of Public Health,Dyann Wirth,"PATH Malaria Vaccine Initiative (MVI), GlaxoSmithKline (GSK) ",,"The goal of this project is to study the role and the impact of parasite genetic diversity on the RTS,S/ AS01 vaccine efficacy. ",Product development & clinical research,"Parasite genetic diversity, Tools for elimination"
Transcriptional analysis of malaria transmission stages,http://www.malariaeradication.org/mesa-track/transcriptional-analysis-malaria-transmission-stages,Project,Jun-12,May-13,United States,,Harvard T.H. Chan School of Public Health,Career Incubator Fund,,Harvard T.H. Chan School of Public Health,Matthias Marti,,,"The goal of the project is to create the first detailed transcriptional analysis of pure sexual stage parasites in P. falciparum and compare it to asexual stage parasites.
Specifically, to compare:
the transcriptional profiles of sexually and asexually committed schizonts, and
the transcriptomes of sexual and asexual parasites during a 48-hour time course post invasion.
These experiments will have an immediate impact on our understanding of sexual development of the parasite in the human host, as they will for the first time allow global identification and initial characterization of the stage-specific factors involved.",Basic science,Parasite genetic diversity
The molecular basis of female reproductive biology in the malaria mosquito Anopheles gambiae,http://www.malariaeradication.org/mesa-track/molecular-basis-female-reproductive-biology-malaria-mosquito-anopheles-gambiae,Project,Apr-11,Aug-14,United Kingdom,$583 185,Wellcome Trust,"362,632 GBP",Harvard T.H. Chan School of Public Health,Imperial College London,Murray Selkirk ,Harvard T.H. Chan School of Public Health,"This proposal aims at providing a deeper understanding of the molecular basis of reproductive biology in Anopheles gambiae females, the major vectors of human malaria, with the view to developing innovative ideas and tools for malaria control strategies based on reduction or eradication of natural mosquito populations. The analyses will be focused on the identification of the molecular factors and mechanisms that warrant sperm viability, ensure successful fertilization and affect female post-mating behaviour and physiology. This will be achieved by a comprehensive analysis of the events characterizing two major female reproductive organs: the atrium (where male seminal proteins are processed) and the spermatheca (where sperm is stored for the female life time), after copulation, in both laboratory and field settings. A variety of approaches will be employed, encompassing in depth transcriptional, proteomics and biochemical analyses of the sperm storage organs, functional assessment of the processing of male seminal fluids and its role in mosquito reproduction. This project will have a profound impact on malaria research, and will contribute to the training and scientific excellence of the next generation of scientists.
",This study aims at studying the molecular mechanisms of sperm viability in the female storage organ in laboratory and field settings. ,Entomology,
The Human Element of Malaria Elimination: Accounting for Human Behavior and Risk Perceptions in Strategic Planning,http://www.malariaeradication.org/mesa-track/human-element-malaria-elimination-accounting-human-behavior-and-risk-perceptions,Project,Jul-14,Jan-16,Uganda,,Harvard T.H. Chan School of Public Health,Career Incubator Fund,,Harvard T.H. Chan School of Public Health,Jessica Cohen,,,"This project proposed to address the malaria issue by bringing together behavioral economic data with dynamical models of malaria transmission, to develop a platform for incorporating human behavior within elimination strategic planning frameworks. 
The specific aims are:
 Analyze data on malaria risk perceptions and malaria treatment/prevention behavior across a range of endemicity settings in Uganda.
Combine this data with a new malaria transmission model to estimate the impact of changing risk perception and behavior on the efficacy of particular interventions and the timeline for elimination.
Publish these results in a high-impact journal.
Use this published paper as pilot evidence to develop an R01 proposal to elaborate on this work: to collect data on malaria risk perceptions and behavior across a range of malaria endemicity countries and settings, incorporate realistic changes in human behavior into dynamical models of malaria transmission and control, and create a set of actionable policy guidelines for when and how strategies should shift as transmission is reduced. 
the ultimate goal is to create a tool that can be used for malaria control policies in general, and for elimination feasibility planning in particular.",Social science,Elimination strategies
Targeting the Mitochondrion of P. falciparum,https://projectreporter.nih.gov/project_info_description.cfm?aid=9263872&icde=35279641,Project,Jul-11,Jun-21,United States,$2 970 780,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,"Broad Institute, US",Harvard T.H. Chan School of Public Health,Dyann Wirth,"Broad Institute, US","Drug resistance remains a pressing concern for antimalarial chemotherapies. Management of resistance has largely been a reactive process, but the approach presented in this project exploits predicted evolutionary trajectories to maintain a drug-sensitive parasite population. The strategy is to design new drugs such that the fitness cost of resistance restricts the ability of mutant parasites to survive combination therapy or to persist in the absence of selection. Through whole organism high-throughput screening many new chemotypes that act on mitochondrial targets have been discovered, and either in combination or in a single molecule they target both wild-type and mutant parasites and suppress the emergence of resistance in vitro.
This project focuses on the Plasmodium falciparum dihydroorotate dehydrogenase (PfDHODH) target and fully explores the structural, functional, and fitness consequences of drug resistance pathways. Findings are extended from our current award to fully explore mutually incompatible resistance, establishing an in vivo model system to understand the impact of the host environment on the parasite's ability to escape drug pressure. PfDHODH is clinically relevant and has multiple structural classes of inhibitors providing a substantial toolset with which to study the combination strategy in depth. Chemical inhibitors that target wild-type and mutant forms of DHODH will be identified and efficacy optimized for in vivo studies. Using an approach that has proven highly productive, the team will prioritize the molecules based on cross-resistance screening against a panel of resistant mutants and focus on compounds demonstrating validated potency against both the wild-type and mutants. Resistance mutations will be validated and the structural and biological consequences of these mutations assessed by determining the structures of the most prevalent mutant forms, measuring the effects of the mutations on the enzyme, on mitochondrial function, and on the growth of the organism. This has implications not just for this work, but also for others in the field who are developing methods to prevent the emergence of drug resistance.
","This project aims to:
use evolutionary biology principles to anticipate and then block the most fit resistance pathways in order to protect the efficacy of antimalarial therapies.
validate combinations of or single dual-active PfDHODH inhibitors that kill both the wild-type and resistant mutant-type parasites and assess the biochemical, structural, and fitness consequences of resistance mutations to these inhibitors.
develop a protocol for using a humanized mouse model of P. falciparum infection to measure the most relevant in vivo resistance pathways and test the suppression of drug resistance 
",Product development & clinical research,"Drug resistance, Drug-based strategies"
Targeting steroid hormone signaling in Anopheles mosquitoes for malaria control,http://www.malariaeradication.org/mesa-track/targeting-steroid-hormone-signaling-anopheles-mosquitoes-malaria-control,Project,Apr-16,Mar-21,"United Kingdom, United States",,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",," Research Institute of Health Sciences (IRSS), Burkina Faso, Cornell University, Liverpool School of Tropical Medicine (LSTM)",Harvard T.H. Chan School of Public Health,Flaminia Catteruccia," Research Institute of Health Sciences (IRSS), Burkina Faso, Cornell University, Liverpool School of Tropical Medicine (LSTM)",,"The eradication of malaria is contingent upon interrupting transmission of the Plasmodium parasite by the mosquito vector. This project studies the role of steroid hormones in the regulation of key behavioral and physiological mechanisms that influence the ability of Anopheles gambiae mosquitoes to reproduce and transmit Plasmodium. These studies will increase our understanding of biological processes crucial to the spread of malaria, and will generate new tools designed to disrupt the transmission cycle.",Entomology,Tools for elimination
Targeting erythrocyte determinants of malaria sexual development,http://www.malariaeradication.org/mesa-track/targeting-erythrocyte-determinants-malaria-sexual-development,Project,Jun-14,Dec-16,United States,,Bill & Melinda Gates Foundation (BMGF),,,Harvard T.H. Chan School of Public Health,Manoj T. Duraisingh,,,"The aim of this proposal is to identify erythrocyte genes that are essential for the sexual development of the malaria parasite P. falciparum, that encode proteins that can be targeted by small molecules for inhibition.",Basic science,Tools for elimination
Targeting erythrocyte determinants of malaria infection ,http://www.malariaeradication.org/mesa-track/targeting-erythrocyte-determinants-malaria-infection,Project,Sep-11,Dec-17,United States,,Bill & Melinda Gates Foundation (BMGF),,,Harvard T.H. Chan School of Public Health,Manoj T. Duraisingh,,,"Antimalarial drug development has focused exclusively on parasite targets. In this project, the aim is to identify erythrocyte genes that are essential for the proliferation of the malaria parasite Plasmodium falciparum, and that encode proteins that can be targeted by small molecules for inhibition.","Basic science, Product development & clinical research",Drug-based strategies
Targeting Drug Resistance Parasites  ,http://www.malariaeradication.org/mesa-track/targeting-drug-resistance-parasites,Project,Nov-12,Apr-14,United States,,Bill & Melinda Gates Foundation (BMGF),,"Broad Institute, US",Harvard T.H. Chan School of Public Health,Dyann Wirth,"Broad Institute, US",,This study proposes to identify antimalarial combinations that specifically target drug-resistant parasites. Drug-resistant parasites will be screened to discover susceptibilities unique to these organisms and that can be exploited for drug development.,Product development & clinical research,"Drug resistance, Drug-based strategies"
Target Discovery for Antimalarials ,http://www.malariaeradication.org/mesa-track/target-discovery-antimalarials,Project,Oct-12,Oct-17,United States,,Bill & Melinda Gates Foundation (BMGF),,,Harvard T.H. Chan School of Public Health,Elizabeth A. Winzeler,,,"For this study Harvard will generate parasite resistance to ten scaffolds with antimalarial activity, close will be selected and subject to genome sequencing. Compounds will be tested to determine if they are active against known targets such as Plasmodium falciparum dihydratefolate dehydrogenase, or cytochrome bc1.",Product development & clinical research,Drug resistance
Silencing the mating plug: effects on female reproductive biology and on parasite development in the malaria mosquito Anopheles gambiae,http://www.malariaeradication.org/mesa-track/silencing-mating-plug-effects-female-reproductive-biology-and-parasite-development,Project,Jan-13,Dec-13,United States,,Harvard T.H. Chan School of Public Health,The William F Milton Fund,,Harvard T.H. Chan School of Public Health,Flaminia Catteruccia,,,This study aims at assessing the role of the mating plug in both mosquito reproductive fitness and malaria transmission.,Entomology,
Role of RBC-derived microparticles in human malaria,http://www.malariaeradication.org/mesa-track/role-rbc-derived-microparticles-human-malaria,Project,Feb-12,Jan-13,United States,,"Becton, Dickinson and Company (BD)",BD Bioscience Immunology Research Award,,Harvard T.H. Chan School of Public Health,Matthias Marti,,,Identification of parasite molecules in RBC-derived particles is of great relevance. The goal was to lay the foundation for further studies on the role of microparticles for the development of vaccine and biomarkers in malaria.,Basic science,"Parasite genetic diversity, Tools for elimination"
Research capacity for the implementation of genetic control of mosquitoes (INFRAVEC),http://cordis.europa.eu/result/rcn/164336_en.html,Project,Jan-09,Aug-13,"Cameroon, Kenya, Uganda, France, Germany, Greece, Italy, Netherlands, Portugal, Sweden, United Kingdom, Burkina Faso, Senegal",,EC FP7 Infravec Consortium,,"Imperial College London, Agricultural University of Athens, Greece, Centre of Agriculture and Environment Giorgio Nicoli (ACC), Ministry of Health (MOH) Burkina Faso, National Center for Scientific Research (CNRS), France, European Molecular Biology Laboratory (EMBL), International centre for Insect Physiology and Ecology (ICIPE), Kenya, Institute of Hygiene and Tropical Medicine (IHMT), Lisbon, Foundation for Research and Technology Hellas, Greece, Institut Pasteur, France, Institut Pasteur de Dakar (IPD), Institute of Research for Development (IRD), France,  Research Institute of Health Sciences (IRSS), Burkina Faso, Research and Development Center for Advanced Materials and Environmental Technologies (ISRIM), Italy, Keele University, UK, Liverpool School of Tropical Medicine (LSTM), Organization for coordination and cooperation against endemic diseases in Central Africa (OCEAC), Oxitec Limited, UK, Stockholm University, University of Camerino (UNICAM), Italy, University of Naples Federico II, Italy, University of Pavia, Italy, Sapienza University of Rome, University of Oxford, National Institute of Health (ISS), Italy , Med Biotech Laboratories (MBL) Limited, Uganda, University of Glasgow, Wageningen University, Netherlands, University of Perugia, Italy, Radboud University Nijmegen, The Netherlands, Heidelberg University Hospital, Germany",Harvard T.H. Chan School of Public Health,Andrea Crisanti,"Imperial College London, Agricultural University of Athens, Greece, Centre of Agriculture and Environment Giorgio Nicoli (ACC), Ministry of Health (MOH) Burkina Faso, National Center for Scientific Research (CNRS), France, European Molecular Biology Laboratory (EMBL), International centre for Insect Physiology and Ecology (ICIPE), Kenya, Institute of Hygiene and Tropical Medicine (IHMT), Lisbon, Foundation for Research and Technology Hellas, Greece, Institut Pasteur, France, Institut Pasteur de Dakar (IPD), Institute of Research for Development (IRD), France,  Research Institute of Health Sciences (IRSS), Burkina Faso, Research and Development Center for Advanced Materials and Environmental Technologies (ISRIM), Italy, Keele University, UK, Liverpool School of Tropical Medicine (LSTM), Organization for coordination and cooperation against endemic diseases in Central Africa (OCEAC), Oxitec Limited, UK, Stockholm University, University of Camerino (UNICAM), Italy, University of Naples Federico II, Italy, University of Pavia, Italy, Sapienza University of Rome, University of Oxford, National Institute of Health (ISS), Italy , Med Biotech Laboratories (MBL) Limited, Uganda, University of Glasgow, Wageningen University, Netherlands, University of Perugia, Italy, Radboud University Nijmegen, The Netherlands, Heidelberg University Hospital, Germany","Mosquitoes are known for transmitting a wide variety of infectious diseases that cause a tremendous burden to public health. Due to climate changes and to the increase in international trade and tourism the threats posed by mosquitoes are increasingly affecting large parts of Europe, causing understandable concerns among the populations of many Member States, particularly in the southern parts on the continent. Control methods, mainly based on the use of insecticides, are struggling to cope with the challenges posed by the biology and ecology of mosquito vectors. INFRAVEC aimed to bridge the gap between the recent advances in transgenic technology and its implementation as a novel powerful approach for vector control. To this aim, a large European Infrastructure has been put together, in which the coordination of efforts, expertise and facilities provided by the participating research groups and institutions contributed to expand the overall research capabilities of the research community. Four Infrastructure facilities have been integrated in the project: 1) the Mosquito Genetic Facility at Imperial College London; 2) the Mosquito Mass-rearing facility at the Centro Agricoltura ed Ambiente, CAA (which operates in close collaboration with the International Atomic Enargy Agency; 3) the Cambridge-based Bioinformatics facility of EMBL-EBI; and 4) the Mosquito Confined Release facility managed by UNIPG and offered a formidable research capability to external users that have applied for the services offered by the project and implemented five research projects aimed at utilizing basic knowledge of mosquito genetics and biology in an unprecedented effort to develop novel opportunities for mosquito control. 
INFRAVEC carried out a number of Networking, Joint Research, Transnational and Service activities, towards the objective of strengthening research capability in Europe by sharing knowledge, resources and technology. These are: provision of access to the Infrastructure facilities; establishment of a mosquito line repository; development of mosquito high throughput sorting technologies; development of Ae. albopictus gene database; improvement of gene manipulation technologies; targeting mosquito vectorial capacity and EST sequencing; population structure analysis of mosquito species; validation of GM mosquito control measures under confined field conditions.
","INFRAVEC addresses the need of the scientific community to share facilities and integrate cuttingedge knowledge and technologies that are not readily accessible but nevertheless critical to exploit genetic and genomic information in the effort to control mosquito-borne diseases. Its objective is to provide laboratories that currently operate individually with limited coordination and little sharing of technologies, with the collective research capacity of the laboratories forming the core project infrastructure.",,
Protecting the Efficacy of Antimalarial Therapies by Novel Approaches to Suppress the Emergence of Drug Resistance,http://www.malariaeradication.org/mesa-track/protecting-efficacy-antimalarial-therapies-novel-approaches-suppress-emergence-drug,Project,Dec-15,Oct-17,United States,,Bill & Melinda Gates Foundation (BMGF),,,Harvard T.H. Chan School of Public Health,Dyann Wirth,,,"The overall objective of the proposed project is to develop a technological platform that will enable an assessment of the potential for drug resistance emergence to inform the drug development process, including the co-development of combination therapies at an early stage in the discovery/development process.",Operational research,Drug resistance
Profiling Anti-Malarials for Loss of Efficacy in Endemic Regions,http://www.malariaeradication.org/mesa-track/profiling-anti-malarials-loss-efficacy-endemic-regions,Project,May-13,Oct-14,United States,,Bill & Melinda Gates Foundation (BMGF),,"Broad Institute, US, Harvard T.H. Chan School of Public Health",Massachusetts Institute of Technology (MIT),Sangeeta Bhatia,"Broad Institute, US, Harvard T.H. Chan School of Public Health",,"The goal is to evaluate how drugs of the ?Malaria Box? modulate CYP450 expression in a microscale human liver platform using a low-cost, high-throughput, bead-based technology, in order to predict the propensity of anti-malarials to participate in drug-drug interactions.",Product development & clinical research,Drug-based strategies
"Plasmodium falciparum Genetic Diversity: Drug, Vaccine and Disease Severity Applications",http://www.malariaeradication.org/mesa-track/plasmodium-falciparum-genetic-diversity-drug-vaccine-and-disease-severity-applications,Project,Jan-08,May-13,"United States, Senegal",,Bill & Melinda Gates Foundation (BMGF),,Harvard University,"Broad Institute, US, Harvard T.H. Chan School of Public Health","Eric Lander, Dyann Wirth",Harvard University,,"This project aims to create a high density, SNP map of P. falciparum, define haplotype blocks to allow cost-effective strategies for drug resistance studies, disease severity, assessment of sub-population effects and non-responding genotypes in clinical trials of vaccines or drugs.",,
Molecular characterization and substrate identification of malaria kinase PfCDPK5,https://projectreporter.nih.gov/project_info_description.cfm?aid=9185267&icde=32543243,Project,Dec-13,Nov-17,,$1 763 334,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,"Harvard T.H. Chan School of Public Health, Harvard Medical School",Boston Children's Hospital,Jeffrey Dvorin,"Harvard T.H. Chan School of Public Health, Harvard Medical School","Malaria is among the leading causes of mortality for children under five years of age worldwide, with most of these deaths resulting from Plasmodium falciparum infection. Resistance to existing anti-malarial medications is an urgent problem and may prevent effective eradication strategies. A molecular understanding of the life cycle of P. falciparum will facilitate the rational design of new therapies. Efficient egress of P. falciparum out of an infected human red blood cell is a fundamental step in the parasite life cycle, and a step that is not targeted by current anti-malarial therapeutics. PfCDPK5 has recently been identified as a kinase that is critical for parasite egress. Using a state-of-the-art inducible protein destabilization system, functional evaluation of this essential gene is now possible. Transgenic parasites with an inducible knockdown in PfCDPK5 are arrested prior to egress. The ability to regulate the level of PfCDPK5 provides a unique resource to study both the mechanism of activation and the downstream effectors of this essential kinase. 
","The hypothesis is that PfCDPK5 is a central mediator of the calcium-based egress signaling pathway.
The immediate goals of this proposal are to gain a molecular understanding of PfCDPK5 activation and characterize its role in the egress signaling pathway. In the first aim, a molecular genetic analysis of PfCDPK5 activation will be conducted using transgenic parasites that allow inducible regulation of essential protein levels. In the second aim, the downstream substrate(s) of PfCDPK5 will be discovered using both a candidate gene approach as well as advanced proteomic techniques.
The long- term objectives and public health implications of these studies are to identify novel targets for new anti- malarial therapeutics. This long-term goal will be achieved as a direct result from the molecular characterization of the essential PfCDPK5 signaling pathway in P. falciparum parasites.",Basic science,Parasite genetic diversity
Molecular Analysis of a kinase essential for replication of Plasmodium falciparum ,https://projectreporter.nih.gov/project_info_description.cfm?aid=8274768&icde=32543099&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC&pball=,Project,Jul-10,Sep-13,United States,$396 900,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,"Harvard T.H. Chan School of Public Health, Harvard Medical School",Boston Children's Hospital,Jeffrey Dvorin,"Harvard T.H. Chan School of Public Health, Harvard Medical School","Malaria is the fourth leading cause of mortality for children under five years of age globally, with most of these deaths resulting from Plasmodium falciparum. A molecular understanding of the life cycle of P. falciparum will facilitate the rational design of new therapies. P. falciparum requires efficient invasion into and egress out of human erythrocytes during the asexual replication stage of the parasite life cycle. Preliminary data have identified a plant-like calcium-dependent protein kinase PfCDPK5 that is crucial for P. falciparum egress. These experiments have generated the first functional knockout of an essential blood-stage gene in P. falciparum. PfCDPK5-deficient parasites arrest at a very late-stage of the intra-erythrocytic life cycle. The hypothesis is that PfCDPK5 mediates a critical calcium-dependent signal required for P. falciparum egress.
","The goals of this proposal are to gain a better understanding of PfCDPK5 function and elucidate its role in parasite egress from infected erythrocytes. In the first aim, the localization, trafficking, and regulation of this essential kinase will be determined. Using two mass spectrometry based techniques and a third candidate gene approach, the experiments of the second aim will identify the in vivo substrate(s) of PfCDPK5.
Using genetic and biochemical techniques, this project will characterize the key biological process of parasite egress from red blood cells and ultimately identify new targets for future anti- malarial medications.",Basic science,Drug-based strategies
MITOPlas_Scalable characterization of the malaria parasite mitochondrial proteome,https://projectreporter.nih.gov/project_info_description.cfm?aid=9198934&icde=32834339,Project,Jan-16,Dec-17,United States,$429 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,Harvard T.H. Chan School of Public Health,Massachusetts Institute of Technology (MIT),Jaquin Niles,Harvard T.H. Chan School of Public Health,"Our ability to effectively treat malaria is threatened by increasingly widespread resistance to the limited number of frontline antimalarial drugs available. Consequently, new strategies guiding prioritization of novel targets for drug development are critically needed.  Defining essential mitochondrial proteins and biological processes should provide new insights into fundamental parasite biology. Additionally, this can create opportunities for developing antimalarial drugs that simultaneously target blood, transmission, and liver stages of the parasite life cycle. Drugs with these characteristics are critical to malaria elimination efforts. To accomplish the objectives of this proposal, two aims will be pursued by the team. In Specific Aim 1, they will use bioinformatics tools to predict mitochondrial targeting sequences (MTS) in nuclear-encoded proteins, and create prioritized lists of putative mitochondrial proteins. They will create libraries of MTS candidates fused to a fluorescent reporter protein and use high throughput and high content imaging to determine whether a candidate MTS is sufficient to mediate protein trafficking to the mitochondrion. In Specific Aim 2, they will use a newly developed functional genetics toolkit to epitope tag and conditionally regulate the expression level of endogenous proteins putatively trafficked to the mitochondrion. This will prove whether native proteins associated with a given MTS are indeed trafficked to the mitochondrion. Conditionally regulating the expression of these proteins will additionally facilitate assessment of which mitochondrial proteins are essential for parasite survival. This approach is innovative because it integrates several complementary technologies-combinatorial reporter library synthesis and parasite line generation, high content imaging and functional genetics-to gain insight into mitochondrial biology on an unprecedented scale in P. falciparum. The proposed research is significant because it will provide definitive insights into the composition and vital components of this relatively enigmatic parasite organelle. Simultaneously, it will motivate targeted interference with mitochondrial function as a strategy for identifying life cycle stage-independent antimalarial drugs. These outcomes are expected to positively impact human health by improving the tools available for malaria treatment and eradication.
","This project proposes targeting mitochondrial function as a strategy that could yield diverse solutions for treating malaria. The long-term goal is to define the mitochondrial proteome of the human malaria parasite, P. falciparum, and establish the core subset of these proteins that are essential for parasite survival. This knowledge will contribute to the development of new antimalarial drugs with novel mechanisms of action, and circumvent existing modes of drug resistance. The objectives of the present research are 
The objectives of the present research are to: (1) develop a pipeline for prioritizing then validating the set of nuclear- encoded proteins that traffic to the mitochondrion; and (2) classify the essentiality of these proteins. The central hypothesis is that mitochondrial function is critical for malaria parasite survival during blood, mosquito and liver stages.",Basic science,Parasite genetic diversity
Microscale liver platform for liver-stage malaria,http://www.malariaeradication.org/mesa-track/microscale-liver-platform-liver-stage-malaria,Project,Oct-10,Oct-18,"United States, Thailand",,Bill & Melinda Gates Foundation (BMGF),,"Sanaria, Mahidol University, Harvard T.H. Chan School of Public Health",Massachusetts Institute of Technology (MIT),Sangeeta Bhatia,"Sanaria, Mahidol University, Harvard T.H. Chan School of Public Health",,The goal is to establish robust in vitro culture methods for the liver-stages of malaria to facilitate the development of new therapies for the disease.,Basic science,Tools for elimination
Malaria Antibody Function,http://www.malariaeradication.org/mesa-track/malaria-antibody-function,Project,Sep-16,Sep-17,United States,,Leidos Biomedical Research Inc,,"National Institutes of Health (NIH), Sanaria, Harvard T.H. Chan School of Public Health",Massachusetts Institute of Technology (MIT),Sangeeta Bhatia,"National Institutes of Health (NIH), Sanaria, Harvard T.H. Chan School of Public Health",,The goal is to assess the functionality of antimalarial antibodies using a human hepatocyte culture system capable of supporting the hepatic stages of Plasmodium species.,Basic science,
"Infectious Disease Genomics: Pathogen Evolution, Emergence, and Host Interactions",https://projectreporter.nih.gov/project_info_description.cfm?aid=8688472&icde=32218491,Project,Apr-14,Mar-19,United States,$23 489 053,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,Harvard T.H. Chan School of Public Health,"Broad Institute, US",Bruce Birren,Harvard T.H. Chan School of Public Health,"The staggering global toll taken by infectious diseases calls for vastly more effective monitoring, as well as new preventative and therapeutic measures. To address critical gaps in our knowledge about the basic biology of key pathogens and their interactions with their hosts and insect vectors, a Genomic Center for Infectious Diseases (GCID) will be created. The team combines an extensive track record of developing and applying groundbreaking laboratory and analytical methods with experience in managing large and complex projects to produce resources for the infectious disease research community. Genomic methods will be used to define the extent of variation among organisms, as well as among microbial communities. The viral research will focus on the NIAID Category A priority pathogens Lassa and Dengue viruses, and the Category B priority pathogen West Nile virus, as well on surveillance for fever-causing viruses in tropical developing countries. Bacterial studies will focus on the Category C priority pathogens M. tuberculosis and Carbapenem-resistant Enterobacteriaceae, an emerging cause of nocosomial infections associated with high mortality, as well as the costly Uropathogenic E. coli. Fungal research will focus on major pathogens with significant clinical impact, C. neoformans and C. albicans, as well as strains causing recent fungal outbreaks, including C. gattii and Fusarium spp. Both the malaria-causing parasite P. falciparum and its mosquito vector, A. gambiae will be studied. In studying these particular high-priority pathogens as model systems, the team will produce, and train community members to use, new methods of wide utility. They will sequence natural isolates as well as laboratory-derived mutants, and associate sequence differences with phenotypes to help interpret the functional consequences of this variation with respect to virulence, transmission and drug sensitivity. Working at several levels, from populations to whole organisms, and animal models to single cells, they will reveal the long term (evolutionary) responses to pathogen and host interactions and exposure to drugs or insecticides as well as the immediate (transcriptional) responses of host and pathogens to infection. These responses define potential new opportunities for interventions to disrupt the cycle of infection and transmission. In bringing together outstanding investigators in infectious disease with cutting edge laboratory and analytical methods and experienced leaders in genomics, the information needed to create new tools will be generated, in order to track, diagnose, treat and prevent infectious diseases.
","The goal of this project is to create a center that will harness cutting edge genomic technologies to study host?pathogen interactions and to develop methods to monitor, prevent and treat infectious diseases.",,
